,B_cells_naive,B_cells_memory,Plasma_cells,T_cells_CD8,T_cells_CD4_naive,T_cells_CD4_memory_resting,T_cells_CD4_memory_activated,T_cells_follicular_helper,T_cells_regulatory_(Tregs),T_cells_gamma_delta,NK_cells_resting,NK_cells_activated,Monocytes,Macrophages_M0,Macrophages_M1,Macrophages_M2,Dendritic_cells_resting,Dendritic_cells_activated,Mast_cells_resting,Mast_cells_activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-BR-6455,0.08801825,0.0,0.0043474454,0.26111174,0.0,0.09964646,0.032032434,0.0319898,0.077950425,0.0,0.010392086,0.0,0.025004754,0.1187754,0.09335942,0.12230533,0.013309158,0.0,0.0,0.021757262,0.0,0.0,0.04,0.14295046031475067,1.0346611738204956
TCGA-BR-7196,0.15985213,0.0,0.12656714,0.15131088,0.0,0.1580754,0.054754402,0.0053405976,0.010554649,0.0,0.06674837,0.0,0.03349922,0.0,0.097065166,0.09647609,0.0107213715,0.0,0.02903459,0.0,0.0,0.0,0.0,0.35442420840263367,0.9413501620292664
TCGA-BR-8371,0.4397381,0.0,0.0061366963,0.07335224,0.0,0.2047948,0.0,0.0,0.14352503,0.0,0.0,0.030166022,0.013918372,0.008225709,0.0064805704,0.039393708,0.0,0.022863887,0.0114047,0.0,2.3486083e-07,0.0,0.0,0.5776869058609009,0.8156113624572754
TCGA-BR-8380,0.11818559,0.0,0.026111938,0.059556488,0.0,0.24028313,0.0,0.012771299,0.03268824,0.0,0.0,0.036170267,0.033988487,0.08673408,0.07810979,0.1346351,0.018166095,0.0,0.12259951,0.0,0.0,0.0,0.01,0.19744372367858887,0.9994193315505981
TCGA-BR-8592,0.14766721,0.0065873177,0.051734973,0.12358847,0.0,0.24179038,0.03686532,0.016730515,0.035499908,0.0,0.0,0.026442995,0.0076574236,0.0,0.017041493,0.15630175,0.012779581,0.0,0.11430051,0.0,0.0,0.005012115,0.0,0.27074646949768066,0.9745072722434998
TCGA-BR-8686,0.12127997,0.0,0.00715216,0.32589957,0.0,0.17390542,0.028044617,0.0,0.050599787,0.0,0.0,0.011119169,0.012310988,0.012953254,0.09529459,0.13317901,0.0,0.0,0.018347768,0.009417524,0.0004961164,0.0,0.03,0.1567440629005432,1.0412064790725708
TCGA-BR-A4IV,0.07656564,0.0,0.046036083,0.050748743,0.0,0.36152613,0.0,0.024283802,0.012113005,0.0,0.0,0.036023572,0.019702753,0.0,0.019718826,0.22255124,0.0040104375,0.03645517,0.028062582,0.06176941,0.0,0.0004326892,0.03,0.156815305352211,1.0220900774002075
TCGA-BR-A4J4,0.07419293,0.0,0.0,0.12808871,0.0,0.12585165,0.05457587,0.036597304,0.08802826,0.0,0.0,0.01633117,0.05050045,0.038677562,0.11632011,0.10134354,0.15959108,0.0,0.0,0.009601456,0.00029994542,0.0,0.04,0.14572013914585114,1.0239347219467163
TCGA-BR-A4J9,0.10039576,0.12266319,0.014748759,0.07177547,0.0,0.27793926,0.0,0.018283151,0.090516426,0.00028713074,0.0,0.029081477,0.00042796697,0.016045185,0.051755026,0.14235185,0.0,0.024247881,0.039481476,0.0,0.0,0.0,0.0,0.27581942081451416,0.976570188999176
TCGA-FP-7916,0.09208224,0.0,0.021323666,0.109655775,0.0,0.21897398,0.035656147,0.007618316,0.07210449,0.0,0.01632587,0.04221325,0.02166997,0.06970599,0.1335199,0.07883811,0.0048145317,0.0,0.075497724,0.0,0.0,0.0,0.04,0.13567891716957092,1.0356487035751343
