,TCGA-BR-6455,TCGA-BR-7196,TCGA-BR-8371,TCGA-BR-8380,TCGA-BR-8592,TCGA-BR-8686,TCGA-BR-A4IV,TCGA-BR-A4J4,TCGA-BR-A4J9,TCGA-FP-7916
T cells,2.4050252044139735,2.3212129519443225,2.210223280409935,1.8670319642505608,2.370077977039251,2.9396785048766714,1.553305304389418,1.7033061466981927,1.893841407072374,3.004038021594939
CD8 T cells,2.6604479576458546,2.31058591103141,0.9342771995593491,0.7005201025798473,1.104356808249026,2.5528682310559065,0.5219139840402462,0.9979180854613792,0.6804154129583732,2.3874620655440473
Cytotoxic lymphocytes,1.9884622923275221,2.177664757165389,1.0063848299499858,1.1745356847638295,1.5773222581583224,2.544579988815161,1.3218592823129511,1.3890299025248467,0.9024461378676463,2.4214710162884194
B lineage,3.2377594002002335,4.502376045648259,5.3952328313735345,3.7599936585854374,5.126553226006982,4.911727920520431,3.2867917325895313,2.7978802316938904,4.676029479877545,4.859505394263467
NK cells,1.2159202836446878,1.1584768492900077,0.3326823781978292,0.5738520961116931,0.5931314639362425,0.8211112393208115,0.6056206337056937,0.8257622726002578,0.29789165158761843,1.0250964943397458
Monocytic lineage,4.234030613672997,3.8346342091123065,2.2452517101296077,3.155907354726985,3.3167822848248667,4.004562113387535,2.8198134335787515,3.624182004280305,2.2203294849687443,4.605279384436223
Myeloid dendritic cells,3.0203995934364287,2.1189255595046785,1.4711798728149397,1.774393008508618,1.9526576996149634,2.1717727213335105,1.860777685781854,2.430503534768877,1.3320142466159792,1.9107071133749833
Neutrophils,2.0167897808629456,1.8729457041902586,1.614333227566747,2.0055543003132144,2.0947455076659103,2.020548139449736,1.9060910186786149,2.177749950737039,1.6121363414464172,1.7608203554211062
Endothelial cells,3.1516048315060172,4.145864809564443,2.850730806616081,3.4533884921214937,3.719333372959807,3.801215598165903,3.773718348178007,2.556021630049384,3.1396190472159184,3.3575753279556766
Fibroblasts,7.026860341736063,8.420402353372609,7.649319472982789,8.979729107488694,8.596650067555498,7.127520000142249,9.661917475516267,6.918491789089213,8.02032108285885,7.147225354545023
