EntrezID	GeneSymbol	Synonyms	GeneName	Chromosome
1	2	A2M	A2MD|CPAMD5|FWP007|S863-7	alpha-2-macroglobulin	chr12
2	9	NAT1	AAC1|MNAT|NAT-1|NATI	N-acetyltransferase 1 (arylamine N-acetyltransferase)	chr8
3	10	NAT2	AAC2|NAT-2|PNAT	N-acetyltransferase 2 (arylamine N-acetyltransferase)	chr8
4	12	SERPINA3	AACT|ACT|GIG25	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	chr14
5	13	AADAC	CES5A1|DAC	arylacetamide deacetylase	chr3
6	14	AAMP	-	angio-associated, migratory cell protein	chr2
7	15	AANAT	DSPS|SNAT	aralkylamine N-acetyltransferase	chr17
8	16	AARS	CMT2N	alanyl-tRNA synthetase	chr16
9	18	ABAT	GABA-AT|GABAT|NPD009	4-aminobutyrate aminotransferase	chr16
10	19	ABCA1	ABC-1|ABC1|CERP|HDLDT1|TGD	ATP-binding cassette, sub-family A (ABC1), member 1	chr9
11	20	ABCA2	ABC2	ATP-binding cassette, sub-family A (ABC1), member 2	chr9
12	21	ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	ATP-binding cassette, sub-family A (ABC1), member 3	chr16
13	22	ABCB7	ABC7|ASAT|Atm1p|EST140535	ATP-binding cassette, sub-family B (MDR/TAP), member 7	chrX
14	23	ABCF1	ABC27|ABC50	ATP-binding cassette, sub-family F (GCN20), member 1	chr6
15	24	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	ATP-binding cassette, sub-family A (ABC1), member 4	chr1
16	25	ABL1	ABL|JTK7|bcr/abl|c-ABL|p150|v-abl	c-abl oncogene 1, non-receptor tyrosine kinase	chr9
17	26	ABP1	ABP|ABP1|DAO|DAO1|KAO	amine oxidase, copper containing 1	chr7
18	27	ABL2	ABLL|ARG	c-abl oncogene 2, non-receptor tyrosine kinase	chr1
19	28	ABO	A3GALNT|A3GALT1|GTB|NAGAT	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	chr9
20	29	ABR	MDB	active BCR-related	chr17
21	30	ACAA1	ACAA|PTHIO|THIO	acetyl-CoA acyltransferase 1	chr3
22	31	ACACA	ACAC|ACACAD|ACC|ACC1|ACCA	acetyl-CoA carboxylase alpha	chr17
23	32	ACACB	ACC2|ACCB|HACC275	acetyl-CoA carboxylase beta	chr12
24	33	ACADL	ACAD4|LCAD	acyl-CoA dehydrogenase, long chain	chr2
25	34	ACADM	ACAD1|MCAD|MCADH	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	chr1
26	35	ACADS	ACAD3|SCAD	acyl-CoA dehydrogenase, C-2 to C-3 short chain	chr12
27	36	ACADSB	2-MEBCAD|ACAD7|SBCAD	acyl-CoA dehydrogenase, short/branched chain	chr10
28	37	ACADVL	ACAD6|LCACD|VLCAD	acyl-CoA dehydrogenase, very long chain	chr17
29	38	ACAT1	ACAT|MAT|T2|THIL	acetyl-CoA acetyltransferase 1	chr11
30	40	ACCN1	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	acid-sensing (proton-gated) ion channel 2	chr17
31	41	ACCN2	ACCN2|ASIC|BNaC2	acid-sensing (proton-gated) ion channel 1	chr12
32	43	ACHE	ACEE|ARACHE|N-ACHE|YT	acetylcholinesterase	chr7
33	47	ACLY	ACL|ATPCL|CLATP	ATP citrate lyase	chr17
34	48	ACO1	ACONS|IREB1|IREBP|IREBP1|IRP1	aconitase 1, soluble	chr9
35	51	ACOX1	ACOX|PALMCOX|SCOX	acyl-CoA oxidase 1, palmitoyl	chr17
36	52	ACP1	HAAP	acid phosphatase 1, soluble	chr2
37	53	ACP2	-	acid phosphatase 2, lysosomal	chr11
38	54	ACP5	SPENCDI|TRAP	acid phosphatase 5, tartrate resistant	chr19
39	55	ACPP	5'-NT|ACP-3|ACP3|PAP	acid phosphatase, prostate	chr3
40	56	ACRV1	D11S4365|SP-10|SPACA2	acrosomal vesicle protein 1	chr11
41	58	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3	actin, alpha 1, skeletal muscle	chr1
42	59	ACTA2	AAT6|ACTSA|MYMY5	actin, alpha 2, smooth muscle, aorta	chr10
43	60	ACTB	BRWS1|PS1TP5BP1	actin, beta	chr7
44	70	ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	actin, alpha, cardiac muscle 1	chr15
45	71	ACTG1	ACT|ACTG|BRWS2|DFNA20|DFNA26	actin, gamma 1	chr17
46	72	ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG	actin, gamma 2, smooth muscle, enteric	chr2
47	81	ACTN4	ACTININ-4|FSGS|FSGS1	actinin, alpha 4	chr19
48	86	ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	actin-like 6A	chr3
49	87	ACTN1	BDPLT15	actinin, alpha 1	chr14
50	88	ACTN2	CMD1AA	actinin, alpha 2	chr1
51	89	ACTN3	-	actinin, alpha 3	chr11
52	90	ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	activin A receptor, type I	chr2
53	91	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	activin A receptor, type IB	chr12
54	92	ACVR2A	ACTRII|ACVR2	activin A receptor, type IIA	chr2
55	93	ACVR2B	ACTRIIB|ActR-IIB|HTX4	activin A receptor, type IIB	chr3
56	94	ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	activin A receptor type II-like 1	chr12
57	95	ACY1	ACY-1|ACY1D	aminoacylase 1	chr3
58	97	ACYP1	ACYPE	acylphosphatase 1, erythrocyte (common) type	chr14
59	98	ACYP2	ACYM|ACYP	acylphosphatase 2, muscle type	chr2
60	100	ADA	-	adenosine deaminase	chr20
61	101	ADAM8	CD156|MS2	ADAM metallopeptidase domain 8	chr10
62	102	ADAM10	AD10|CD156c|HsT18717|MADM|kuz	ADAM metallopeptidase domain 10	chr15
63	103	ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	adenosine deaminase, RNA-specific	chr1
64	104	ADARB1	ADAR2|DRABA2|DRADA2|RED1	adenosine deaminase, RNA-specific, B1	chr21
65	105	ADARB2	ADAR3|RED2	adenosine deaminase, RNA-specific, B2 (non-functional)	chr10
66	107	ADCY1	AC1	adenylate cyclase 1 (brain)	chr7
67	108	ADCY2	AC2|HBAC2	adenylate cyclase 2 (brain)	chr5
68	112	ADCY6	AC6	adenylate cyclase 6	chr12
69	113	ADCY7	AC7	adenylate cyclase 7	chr16
70	115	ADCY9	AC9	adenylate cyclase 9	chr16
71	116	ADCYAP1	PACAP	adenylate cyclase activating polypeptide 1 (pituitary)	chr18
72	117	ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	chr7
73	118	ADD1	ADDA	adducin 1 (alpha)	chr4
74	119	ADD2	ADDB	adducin 2 (beta)	chr2
75	120	ADD3	ADDL	adducin 3 (gamma)	chr10
76	124	ADH1A	ADH1	alcohol dehydrogenase 1A (class I), alpha polypeptide	chr4
77	125	ADH1B	ADH2	alcohol dehydrogenase 1B (class I), beta polypeptide	chr4
78	126	ADH1C	ADH3	alcohol dehydrogenase 1C (class I), gamma polypeptide	chr4
79	128	ADH5	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR	alcohol dehydrogenase 5 (class III), chi polypeptide	chr4
80	130	ADH6	ADH-5	alcohol dehydrogenase 6 (class V)	chr4
81	131	ADH7	ADH4	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	chr4
82	132	ADK	AK	adenosine kinase	chr10
83	133	ADM	AM	adrenomedullin	chr11
84	134	ADORA1	RDC7	adenosine A1 receptor	chr1
85	135	ADORA2A	A2aR|ADORA2|RDC8	adenosine A2a receptor	chr22
86	136	ADORA2B	ADORA2	adenosine A2b receptor	chr17
87	140	ADORA3	A3AR|AD026|bA552M11.5	adenosine A3 receptor	chr1
88	141	ADPRH	ARH1	ADP-ribosylarginine hydrolase	chr3
89	142	PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	poly (ADP-ribose) polymerase 1	chr1
90	143	PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	poly (ADP-ribose) polymerase family, member 4	chr13
91	146	ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	adrenoceptor alpha 1D	chr20
92	147	ADRA1B	ADRA1|ALPHA1BAR	adrenoceptor alpha 1B	chr5
93	148	ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR	adrenoceptor alpha 1A	chr8
94	150	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	adrenoceptor alpha 2A	chr10
95	151	ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|alpha-2BAR	adrenoceptor alpha 2B	chr2
96	152	ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	adrenoceptor alpha 2C	chr4
97	153	ADRB1	ADRB1R|B1AR|BETA1AR|RHR	adrenoceptor beta 1	chr10
98	154	ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	adrenoceptor beta 2, surface	chr5
99	155	ADRB3	BETA3AR	adrenoceptor beta 3	chr8
100	156	ADRBK1	BARK1|BETA-ARK1|GRK2	adrenergic, beta, receptor kinase 1	chr11
101	157	ADRBK2	BARK2|GRK3	adrenergic, beta, receptor kinase 2	chr22
102	158	ADSL	AMPS|ASASE|ASL	adenylosuccinate lyase	chr22
103	159	ADSS	ADEH|ADSS 2	adenylosuccinate synthase	chr1
104	161	AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	adaptor-related protein complex 2, alpha 2 subunit	chr11
105	162	AP1B1	ADTB1|AP105A|BAM22|CLAPB2	adaptor-related protein complex 1, beta 1 subunit	chr22
106	163	AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1	adaptor-related protein complex 2, beta 1 subunit	chr17
107	164	AP1G1	ADTG|CLAPG1	adaptor-related protein complex 1, gamma 1 subunit	chr16
108	165	AEBP1	ACLP	AE binding protein 1	chr7
109	166	AES	AES-1|AES-2|ESP1|GRG|GRG5|TLE5	amino-terminal enhancer of split	chr19
110	167	CRISP1	AEGL1|ARP|CRISP-1|HSCRISP1D|HSCRISP1G|HUMARP	cysteine-rich secretory protein 1	chr6
111	173	AFM	ALB2|ALBA|ALF	afamin	chr4
112	174	AFP	FETA|HPAFP	alpha-fetoprotein	chr4
113	175	AGA	AGU|ASRG|GA	aspartylglucosaminidase	chr4
114	176	ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK	aggrecan	chr15
115	177	AGER	RAGE	advanced glycosylation end product-specific receptor	chr6
116	178	AGL	GDE	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	chr1
117	181	AGRP	AGRT|ART|ASIP2	agouti related protein homolog (mouse)	chr16
118	182	JAG1	AGS|AHD|AWS|CD339|HJ1|JAGL1	jagged 1	chr20
119	183	AGT	ANHU|SERPINA8	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	chr1
120	185	AGTR1	AG2S|AGTR1A|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|AT2R1A|AT2R1B|HAT1R	angiotensin II receptor, type 1	chr3
121	186	AGTR2	AT2|ATGR2|MRX88	angiotensin II receptor, type 2	chrX
122	189	AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	alanine-glyoxylate aminotransferase	chr2
123	190	NR0B1	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	nuclear receptor subfamily 0, group B, member 1	chrX
124	191	AHCY	SAHH|adoHcyase	adenosylhomocysteinase	chr20
125	196	AHR	bHLHe76	aryl hydrocarbon receptor	chr7
126	197	AHSG	A2HS|AHS|FETUA|HSGA	alpha-2-HS-glycoprotein	chr3
127	199	AIF1	AIF-1|IBA1|IRT-1|IRT1	allograft inflammatory factor 1	chr6
128	202	AIM1	CRYBG1|ST4	absent in melanoma 1	chr6
129	203	AK1	-	adenylate kinase 1	chr9
130	204	AK2	ADK2|AK 2	adenylate kinase 2	chr1
131	207	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	v-akt murine thymoma viral oncogene homolog 1	chr14
132	208	AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	v-akt murine thymoma viral oncogene homolog 2	chr19
133	210	ALAD	ALADH|PBGS	aminolevulinate dehydratase	chr9
134	211	ALAS1	ALAS|ALAS3|ALASH|MIG4	aminolevulinate, delta-, synthase 1	chr3
135	212	ALAS2	ALAS-E|ALASE|ANH1|ASB|XLDPP|XLEPP|XLSA	aminolevulinate, delta-, synthase 2	chrX
136	213	ALB	PRO0883|PRO0903|PRO1341	albumin	chr4
137	214	ALCAM	CD166|MEMD	activated leukocyte cell adhesion molecule	chr3
138	215	ABCD1	ABC42|ALD|ALDP|AMN	ATP-binding cassette, sub-family D (ALD), member 1	chrX
139	216	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|PUMB1|RALDH1	aldehyde dehydrogenase 1 family, member A1	chr9
140	217	ALDH2	ALDH-E2|ALDHI|ALDM	aldehyde dehydrogenase 2 family (mitochondrial)	chr12
141	218	ALDH3A1	ALDH3|ALDHIII	aldehyde dehydrogenase 3 family, member A1	chr17
142	219	ALDH1B1	ALDH5|ALDHX	aldehyde dehydrogenase 1 family, member B1	chr9
143	220	ALDH1A3	ALDH1A6|ALDH6|MCOP8|RALDH3	aldehyde dehydrogenase 1 family, member A3	chr15
144	221	ALDH3B1	ALDH4|ALDH7	aldehyde dehydrogenase 3 family, member B1	chr11
145	222	ALDH3B2	ALDH8	aldehyde dehydrogenase 3 family, member B2	chr11
146	223	ALDH9A1	ALDH4|ALDH7|ALDH9|E3|TMABADH	aldehyde dehydrogenase 9 family, member A1	chr1
147	224	ALDH3A2	ALDH10|FALDH|SLS	aldehyde dehydrogenase 3 family, member A2	chr17
148	225	ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR	ATP-binding cassette, sub-family D (ALD), member 2	chr12
149	226	ALDOA	ALDA|GSD12	aldolase A, fructose-bisphosphate	chr16
150	229	ALDOB	ALDB|ALDO2	aldolase B, fructose-bisphosphate	chr9
151	230	ALDOC	ALDC	aldolase C, fructose-bisphosphate	chr17
152	231	AKR1B1	ADR|ALDR1|ALR2|AR	aldo-keto reductase family 1, member B1 (aldose reductase)	chr7
153	238	ALK	CD246|NBLST3	anaplastic lymphoma receptor tyrosine kinase	chr2
154	239	ALOX12	12-LOX|12S-LOX|LOG12	arachidonate 12-lipoxygenase	chr17
155	240	ALOX5	5-LO|5-LOX|5LPG|LOG5	arachidonate 5-lipoxygenase	chr10
